study,system,model,condition,run,metric,unit,value
serving_reference,triton,BERT-base,concurrency=4,3,run_p90_ms,ms,7.807
serving_reference,triton,BERT-base,concurrency=4,3,run_p99_ms,ms,8.322000000000001
serving_reference,triton,BERT-base,concurrency=4,4,throughput,requests/s,539.612
serving_reference,triton,BERT-base,concurrency=4,4,mean_ms,ms,7.392
serving_reference,triton,BERT-base,concurrency=4,4,run_p50_ms,ms,7.498
serving_reference,triton,BERT-base,concurrency=4,4,run_p90_ms,ms,7.92
serving_reference,triton,BERT-base,concurrency=4,4,run_p99_ms,ms,8.883000000000001
serving_reference,triton,BERT-base,concurrency=4,5,throughput,requests/s,503.039
serving_reference,triton,BERT-base,concurrency=4,5,mean_ms,ms,7.927
serving_reference,triton,BERT-base,concurrency=4,5,run_p50_ms,ms,7.804
serving_reference,triton,BERT-base,concurrency=4,5,run_p90_ms,ms,8.695
serving_reference,triton,BERT-base,concurrency=4,5,run_p99_ms,ms,11.355
serving_reference,triton,BERT-base,concurrency=8,1,throughput,requests/s,783.836
serving_reference,triton,BERT-base,concurrency=8,1,mean_ms,ms,10.178
serving_reference,triton,BERT-base,concurrency=8,1,run_p50_ms,ms,10.455
serving_reference,triton,BERT-base,concurrency=8,1,run_p90_ms,ms,11.194
serving_reference,triton,BERT-base,concurrency=8,1,run_p99_ms,ms,12.987
serving_reference,triton,BERT-base,concurrency=8,2,throughput,requests/s,800.734
serving_reference,triton,BERT-base,concurrency=8,2,mean_ms,ms,9.966
serving_reference,triton,BERT-base,concurrency=8,2,run_p50_ms,ms,10.369
serving_reference,triton,BERT-base,concurrency=8,2,run_p90_ms,ms,12.19
serving_reference,triton,BERT-base,concurrency=8,2,run_p99_ms,ms,14.016
serving_reference,triton,BERT-base,concurrency=8,3,throughput,requests/s,820.969
serving_reference,triton,BERT-base,concurrency=8,3,mean_ms,ms,9.719
serving_reference,triton,BERT-base,concurrency=8,3,run_p50_ms,ms,9.471
serving_reference,triton,BERT-base,concurrency=8,3,run_p90_ms,ms,11.329
serving_reference,triton,BERT-base,concurrency=8,3,run_p99_ms,ms,13.443
serving_reference,triton,BERT-base,concurrency=8,4,throughput,requests/s,779.67
serving_reference,triton,BERT-base,concurrency=8,4,mean_ms,ms,10.233
serving_reference,triton,BERT-base,concurrency=8,4,run_p50_ms,ms,10.479000000000001
serving_reference,triton,BERT-base,concurrency=8,4,run_p90_ms,ms,11.425
serving_reference,triton,BERT-base,concurrency=8,4,run_p99_ms,ms,13.768
serving_reference,triton,BERT-base,concurrency=8,5,throughput,requests/s,764.617
serving_reference,triton,BERT-base,concurrency=8,5,mean_ms,ms,10.437
serving_reference,triton,BERT-base,concurrency=8,5,run_p50_ms,ms,10.772
serving_reference,triton,BERT-base,concurrency=8,5,run_p90_ms,ms,11.939
serving_reference,triton,BERT-base,concurrency=8,5,run_p99_ms,ms,13.888
serving_reference,triton,BERT-base,concurrency=16,1,throughput,requests/s,914.091
serving_reference,triton,BERT-base,concurrency=16,1,mean_ms,ms,17.467
serving_reference,triton,BERT-base,concurrency=16,1,run_p50_ms,ms,17.529
serving_reference,triton,BERT-base,concurrency=16,1,run_p90_ms,ms,18.841
serving_reference,triton,BERT-base,concurrency=16,1,run_p99_ms,ms,23.616
serving_reference,triton,BERT-base,concurrency=16,2,throughput,requests/s,867.091
serving_reference,triton,BERT-base,concurrency=16,2,mean_ms,ms,18.42
serving_reference,triton,BERT-base,concurrency=16,2,run_p50_ms,ms,18.745
serving_reference,triton,BERT-base,concurrency=16,2,run_p90_ms,ms,19.745
serving_reference,triton,BERT-base,concurrency=16,2,run_p99_ms,ms,25.914
serving_reference,triton,BERT-base,concurrency=16,3,throughput,requests/s,878.792
serving_reference,triton,BERT-base,concurrency=16,3,mean_ms,ms,18.166
serving_reference,triton,BERT-base,concurrency=16,3,run_p50_ms,ms,17.661
serving_reference,triton,BERT-base,concurrency=16,3,run_p90_ms,ms,21.717
serving_reference,triton,BERT-base,concurrency=16,3,run_p99_ms,ms,28.633
serving_reference,triton,BERT-base,concurrency=16,4,throughput,requests/s,869.33
serving_reference,triton,BERT-base,concurrency=16,4,mean_ms,ms,18.37
serving_reference,triton,BERT-base,concurrency=16,4,run_p50_ms,ms,18.588
serving_reference,triton,BERT-base,concurrency=16,4,run_p90_ms,ms,21.453
serving_reference,triton,BERT-base,concurrency=16,4,run_p99_ms,ms,27.636
serving_reference,triton,BERT-base,concurrency=16,5,throughput,requests/s,844.222
serving_reference,triton,BERT-base,concurrency=16,5,mean_ms,ms,18.914
serving_reference,triton,BERT-base,concurrency=16,5,run_p50_ms,ms,19.192
